,강의아이디,유저아이디,강의만족도,학습량,난이도,강의력,성취감,강의평
137,16,감자도리1,5,4,3,4,4,"1학점 주제에 자잘한 과제나 토론, 발표를 많이 요구하는 과목입니다. 글렌 교수님의 아잉 강의 자체는 대학생 수준 이하고 토론 주제같은 것도 거의 다 쉽고 재미있습니다. 중간기말은 수업 때 배웠던 단어들로 시험 봅니다. 다만 1, 2학기 모두 글렌 교수님의 아잉을 들었었는데 학점을 주시는 기준을 잘 모르겠습니다. 어차피 고대생이면 다 듣는 아잉, 학점에 크게 신경 안 쓰시고 좀 맘 편하게 듣고 싶으시면 글렌 교수님 추천드립니다."
138,16,Airel,4,5,4,5,4,"이 영어 강의에서는 중간고사와 기말고사가 문장 만들기에 중점을 둡니다. 교수님은 매우 친절하시지만, 공부한 내용에 비해 성적은 보통입니다. 한 번의 논문 발표가 요구됩니다."
139,16,sksis,5,3,3,4,3,"1학점 치고 할 것이 정말 많습니다.
하지만 교수님도 학생 편의 많이 봐 주시는 편이고
강의하실 떄도 천천히 말씀하시는 편이라 이해하기 편했습니다.
중간 기말고사도 단어 10개에 대한 문장 쓰는 것이라 부담 없이 잘 할 수 있습니다."
140,16,지롱,4,3,4,5,4,"하는 것도 많고, 교수님 강의력도 좋으셔서 2학점짜리 치고는 성취감이 높았습니다. 다만, 학점에 있어 조금 아쉬웠네요. 주변 학우들의 의견을 포함하여 학점을 잘 주신다고는 할 수 없을 것 같습니다."
141,16,sguard03,3,2,2,2,2,"교수님의 발음은 고려대학교 학생이라면 누구나 따라갈 수 있는 발음인 것 같음. 유고 포함 출석 3번까지는 봐주시는데, 4번부터는 감점이 들어감. 중간고사랑 기말고사는 단어시험으로 대체하고, 중간 과제에는 에세이, 팀 발표 등이 있어 다른 아잉에 비해 해야 할 것들이 많은 느낌."
142,16,하리보젤리곰,5,3,3,5,5,"이런 아잉 잘 없다... 두번 들어봤지만 너무 좋았음
교수님이 굵직굵직한 과제 두 개(에세이/presentation) 빼면 별다른 과제를 안 시킨다
가끔 시켜도 수업 끝나고 과방에서 긁적긁적하면 끝날 정도.
이메일로 뭐 물어봐도 바로 답 잘해주시고 수업도 유머러스하고 재미있음

시험도 문장 쓰기로 공부안하고 봐도 되는 중간기말이었다
학점도 잘 주심
점수도 잘 주시고
엄청 만족스러웠다

아잉 분반에 이 교수님 있다면 듣길 추천함"
143,17,min0126,3,4,4,4,3,"전에 들었던 아잉보다 강의력이 더 좋으셔서 잘 들었습니다. 다른 분반도 대부분 그랬겠지만 영어 발표가 익숙치 않아서 영어 발표가 좀 어려웠다는 거 빼고는 나머지는 괜찮게 소화했다고 생각합니다. 두번의 단어시험을 보는데 기말은 점수를 모르지만 중간에서는 왜 틀렸는지 모르겠는 한 문제가 있었습니다. 귀찮아서 이유를 여쭤보지는 않았지만요. 최종적인 학점은 좋지는 않았습니다. 1학기때는 더 하는 것이 없었고 시험 점수도 처참했는데 학점이 그에 비해 잘 나왔다고 생각했는데 이번 아잉에서는 1학기 아잉보다는 괜찮았다고 생각했지만 그에 비해 학점이 좋지 않게 나왔습니다,, 이유는 잘 모르겠습니다. 다른 분들이 워낙 영어를 잘하셔서 그런 것 같기도 해요. 어쨋든 수업은 좋았지만 학점은 좋지 않았습니다! 그래도 수업 자체는 들을만 했어요."
144,17,o0oo0oe,5,3,2,3,3,"1학기 때도 글렌 교수님의 수업을 들었는데 1학기에 비해 과제를 덜 내주셨던 것 같아요 근데 아잉2 특성상 해야하는 것들이 너무 많아여.. (에세이, 발표 등..)"
145,17,zerosur,5,5,3,5,4,"그저 빛... 아잉은 과제가 너무나도 많아 1학점치고는 무척이나 성가신 과목인데도 불구하고, 교수님께서 최대한 학점을 잘 주시려고 하셔서 열심히 하게 되고 그만큼 학점을 얻어가게 되는 것 같습니다. 아잉1을 글렌 교수님으로 들으셨던 분이라면 중간 에세이까지는 이전과 포맷이 똑같기 때문에 주제 바꿔서 다시 연습한다치고 작성하면 되고, 발표만 열심히 준비하시면 될 것 같습니다."
146,17,이든나래,5,1,1,5,2,교수님 너무 친절하시고 발음 알아듣기 편해서 좋았어요. 수업도 잘 가르치시고 평소 과제도 거의 없는 편이어서 가볍게 잘 들었습니다.
147,17,wxveu,3,4,4,5,4,교수님이 강의도 잘하시고 성격도 좋으신데 학점을 짜게 주시는 편이세요 중간기말 둘 다 단어시험보고 에세이도 따로 내야 해서 1학점치고 조금 빡센 편인듯
148,18,msneyia,5,3,3,4,3,"아잉1,2 둘 다 글렌 교수님으로 들었습니다. 수업 시간 discussion이 많고 에세이 하나랑 조별 발표 하나를 하지만 팀플이 부담스럽진 않았어요. 수업 시간에 열심히 하면 좋은 것 같고 학점도 잘 받았습니다."
149,18,이낭,5,2,2,4,3,1학기 때도 글렌 교수님 수업 들었는데 무난무난해서 2학기에도 들었습니다. 시키는 과제들만 잘 해가면 무난하게 A+ 받을 수 있는 것 같아요~
150,18,우하하하마,5,2,2,5,4,"교수님이 과제가 많다, 학점이 짜다 이런 이야기들을 많이 들어서 불안해하면서 신청했었는데 결과적으로 너무 만족합니다! 우선 교수님 강의력이 정말 좋으셔서 수업시간 50분이 아깝지 않았습니다 ㅎㅎㅎ 수시 출석 과제도 많이 줄어들어서 3번 정도? 만 냈던 걸로 기억합니다. 타 분반에 비해 글쓰기 분량이나 발표 분량 등 과제에 대한 부담도 훨씬 적어서 좋았습니다! 중간, 기말 모두 단어시험이 있다는 점이 아잉 강의 치고 부담스럽고 조금 귀찮긴 했지만, 범위가 엄청 넓거나 단어 난이도가 엄청 어려운 것은 아니라 충분히 할만 했습니다!"
151,18,호랑이귀여웡,5,3,3,5,4,"교수님께서 정말 학생들을 잘 돌봐주시고, 수업도 매우 전달력 있게 해주십니다.
에세이 피드백도 잘 해주시고, 학생들이 질문을 하면 항상 친절하게 알려주십니다.
시험은 중간, 기말 보는데 모두 단어를 보고 예문을 작성하는 시험을 봅니다. 크게 어렵지 않아, 조금만 준비해도 잘 할 수 있는 시험입니다.
이외에는 에세이가 있고, 발표가 있는데, 둘 다 신경 써서 하면 성적은 잘 주시는 것 같습니다.
평소에는 학생들끼리 모여서 토론도 하고 논의도 하는데, 항상 재미있게 영어로 수업하다 가는 것 같습니다."
152,19,아리랑랑,3,3,3,1,2,"정대에 배정된 분반으로 애초에 아잉 꿀강을 배정받지 못한 정대인으로썬 어쩔 수 없이 골라야 하는 선택지 중 하나.

1. 강의력 : 안좋으심. 수업 내용 이해가 어려운 것을 떠나 발음을 알아듣기 힘듦. 그러나 애초에 수업을 들을 필요가 없고, 그래서 수업 듣는 학생 자체가 없음.

2. 과제 : 중간 이전까진 거의 없음. 그러나 중간 이후 제출해야 하는 에세이 분량이 다른 분반에 비해 많은 편이고 (워드로 10장 정도 나옴) 팀플 발표 과제도 있음.

3. 학점 : 잘 모르겠음. 한 만큼 받았다는 친구도 있고 더 못 받았다는 친구도 있지만, 그래도 에세이만 어느정도 잘 내면 잘 주는 듯 함."
153,19,한스란다,4,3,3,2,3,아잉 치곤 생각보다 할 일 없는 편이었다고 생각합니다. 사실상 에세이와 발표만 하면 되는데 특히 에세이는 기한이 길어 부담이 크진 않았습니다. 학점도 잘 주시는 편입니다.
154,19,nyb,3,3,3,4,3,"글쓰기를 영강으로 배운다면 이런느낌..? 평가방식이 다양하지 않고 에세이 자체에 집중해서 에세이에 대한 다양한 것을 강의하심. 그래서 조금 재미가 없었음. (단어퀴즈, 팀플 등 거의없음) 그리고 생각보다 알아듣기가 쉽지 않았음.."
155,19,미아악,5,2,3,3,4,"2학기 아잉은 영어 에세이 + 5분 발표 과제로 구성됨

본인이 시간 투자해서 준비만 어느 정도 한다면 A+ 어렵지 않을 듯?

다른 분반처럼 단어 시험이 있는 것도 아니고 수업 시간 내에 요구하시는 것도 거의 없어서 편한 수업."
156,19,Eastmay14,5,2,2,4,3,"국제분반 아잉 중에 아마 최고의 꿀강이지않나..하는 생각이 듭니다. 수업시간에 하는 것도 거의 없고 과제도 학기 막판에 몇 개 정도 있고 끝입니다.
과제는 크게 보고서 쓰기와 토론or발표 중에서 하나를 하는 식입니다.(1학기에는 토론, 2학기에는 발표)
수업시간에 교수님이 수업을 열정적으로 나가시긴 하지만 수업시간에 따로 시키는 과제는 아예 없습니다.
그러나 과제 중에서 보고서가 양이 꽤 되는 편입니다. 보고서는 보통 영어로 해서 5장 정도 나오는데 교수님이 특히 강조하시는 APA 스타일에 맞게 써야 되서 약간 귀찮을 수는 있습니다. 그러나 APA만 잘 맞다면 교수님이 내용에 대해서는 딱히 크게 지적하거나 건드리지는 않으십니다. 해보면 아마 과제 기한 때문에 한번에 몰아서 쓸텐데, APA만 조심하면 됩니다.
보고서를 쓰면 교수님이 질문하시는 피드백 시간이 있는데, 이 시간이 약간 긴장될 수는 있지만 여기에서 많이 깎이지는 않는 편입니다."
157,19,동서루이보스보리차,5,2,3,4,4,"아잉은 무조건 실베스터 들으세요 여러분. 교수님이 시키시는 것도 많이 없고 기대하는 것도 많이 없으세요 무난히 학점 잘 받을 수 있습니다. 크게 에세이랑 발표가 있었는데, 에세이는 미리미리 교수님이 시키는대로만 작성하시면 크게 어려울게 없을거에요. 챗지피티 사용해서 에세이 검토받는 법도 알려주셨는데 저는 이게 확실히 도움됐습니다. 그리고 영어 에세이라는 결과물이 나오니까 성취감도 있었어요. 영어 잘 못해도 준비만 미리 잘 해가면 에세이는 무난히 A0받을 수 있고, APA 형식 꼼꼼하게 확인하셔서 내시면 A+ 받으실 수 있습니다. 근데 쉽지는 않아요 진짜 꼼꼼하셔야해요. 발표는 다른거 다 필요없고 아이컨택 하나만 보시는 것 같아요. 저는 시간 5분 다 못채우고 너무 빨리끝나서 걱정했는데 대본 흐름을 대충 외우고 계속 아이컨택햇더니 A+ 받아서 최종적으로 A+ 받을 수 있었어요. 아 그리고 수업시간에 토론보다는 강의위주라서 걍 딴짓하셔도 됩니다."
158,19,kingz-,4,2,3,1,3,나쁘지 않았습니다 그냥 무난무난하게 수업듣고 머 하라는 거만 잘 지키면 무난~하게 주시는 듯 굿입니다
159,19,느물한인삼,4,3,3,2,3,"교수님 강의력이 그렇게 좋진 않으시지만, 정말 정말 귀여우십니다! 푸근한 할아버지 느낌이시고, 교수님이 학생들을 좋아하시는 것 같습니다. 강의는 에세이 작성-인터뷰-팀플 발표로 진행되며, 이 외의 과제는 거의 없습니다. 초반엔 과제가 아예 없다가 기말 시즌에 몰려와서 꽤나 힘들었던 기억이 납니다. 그리고 학점을 꽤나 잘 주십니다. 다만 에세이 작성 시 인용 방법을 apa 형식대로 철저히 지키시길 바랍니다. 인용 방법을 잘 안 지키셨다간 에세이 점수를 꽤 많이 깎일 수 있습니다... 정확한 citation 잊지 마세요."
160,19,개구쟁이짱구,3,4,4,2,2,"본인 열심히 한만큼 정직하게 학점 받아갈 수 있는 과목입니다.
교수님 인품이 친절하시고 유쾌하셔서 너무 좋았습니다."
161,19,duii,5,1,1,3,4,"출석 체크 매번 하시긴 하나.. 거의 의미 없습니다. 교수님이 에세이에 반영하라고 하신 것만 반영하고, 수업시간에 적극적으로 참여하면 A+ 받아가실 수 있어요. 특히 시험도 없고 짧은 발표 한번에, 에세이 한번이라 학기중 부담도 거의 없습니다. 수업시간에 교수님 답변 적극적으로 하실 용기가 있다면 무조건 추천드립니다."
162,20,냥냥닝,4,2,2,2,3,"1학기 때에 비해 아잉에 공을 못 들여서 에세이도 실수를 꽤 하고 발표도 조진데다 분반에 영어 잘하는 분들이 꽤 있었어서 와.. 비제 뜨겠는데? 싶었는데 에제가 떠서 너무 만족스러웠습니다.. ㅋㅋㅋㅋㅋㅋ 꿀강 그자체인 것 같아요 출석도 가끔 부르시고 수업시간에 활동도 안해서 수업시간 자체는 거의 밥 먹고 쉬러 가는 느낌이었숩니다... 다만 이정도 했는데 에제라면 1학기 때 만큼만 했어도 에쁠 떴을까 싶어서 살짝 아쉬움이 남는...? 이건 제 불찰이니까용

다만 발음이 어려운 편이고 (처음에는 진짜 안들렸는데 듣다보니 또 적응되긴 하더라구요..) 평가 기준 이런 것들이 다 모호해서 답답할 수는 있다는 점..? 그리고 인터뷰에서 회화를 좀 해야 하는 편이라 영어 실력이 점점 퇴화되고 있는 입장에서 살짝 스트레스 받긴 했는데 인터뷰 같은데서 크게 감점은 하지 않으시는 것 같아요 

어차피 아잉 교수님들 중에 엄청난 꿀강과 명강은 없으니 피터 교수님 추천드립니당"
163,20,miaou,5,3,3,4,5,"1학기 때도 들었던 피터 교수님.. 역시 꿀강이에요. 
출석은 매일 부르지는 않지만, 대부분 부르십니다. 언제 부를지 몰라서 한 번이라고 빠진 날에 교수님이 출석을 부르시면 출석 점수 날라가요. 포털로 유교결석 쓰실 거라면, 유고 신청한 다음에 교수님 메일로 본인이 그 날 유고결석을 신청했다고 한 번 더 보내달라고 하셨어요. 메일은 잘 확인하시는데 포털 유고 신청은 확인을 잘 안 하셔서, 메일 받으면 그때 확인해보시는 것 같아요. 
수업은 굉장히 지루하지만 들어보면 친근한 할아버지 같이 재미있어요. 
자잘자잘한 과제 전혀 없어요.
에세이는 전공과 긴밀히 연결된, 최근 한 학기의 시사 주제를 반영한 1500 words + 로 쓰면 돼요. 

apa citation 굉장히 중요하게 생각하셔요. 맨 마지막에 works cited page에 참고문헌들을 alphabetical order로 정리하시는 거 잊지 마세요. 제가 그거 하나 잘못해서 A+ 받을 수 있었는데 A 주실 수 밖에 없었다고 하시더라구요. (그래도 최종 성적은 A+ 받았으니까, 에세이 하나로 전체 성적 후려치시지는 않아요!)

essay 제출하고 나서는 면담 시간 5분 있어요. 에세이에 관한 거에요. 본인이 에세이에서 주장하는 글쓰기를 했을 거잖아요. 교수님께서 거기에 반박을 하시고 의심을 던지는 질문을 하시는데 거기에 낚여서 stance 바꾸시면 interview 점수 깎입니다. 교수님 반박에 대해서 근거를 가지고 재반박하셔서 essay에서의 stance를 그대로 유지하시면 essay interview는 손쉽게 A+ 나올거에요. 

마지막에 group presentation 있어요. 교수님이 70% 이상 eye contact 해야된다 라고 말씀하셨어요. 대본에 고개 박고 발표하는 걸 교수님이 싫어하셔요. eye contact할 때는 교실의 왼쪽, 중간, 오른쪽에 걸쳐 모든 사람과 아이컨택하시는지 확인하셔요. 멀리 맨 뒤에 벽 보고 하시는 걸 싫어해요. 이때 저는 발표 대본을 완벽히 외우지는 않았지만, 여러 번 읽고 갔더니 어느 정도는 외워져서 대본하고 audience 번갈아 가며 보며 발표했었어요. audience를 더 많이 봤습니다."
164,20,달맞이꽃,5,3,3,5,4,"추천드리는 강의이자, 꿀강, 명강입니다. 
교수님께서 보통 강의식으로 수업을 하시고 종종 그룹 토론을 시키십니다. 
중간, 기말 지필고사는 없으며 과제는 크게 에세이 작성과 발표 준비로 나누어집니다. 에세이 작성의 경우 본인의 진로와 관련한 주제를 선정한 후 아웃라인을 작성하고 피드백을 받은 후 에세이를 출처까지 포함하여 작성하는 것이고, 챗 지피티의 피드백까지 반영해 최종적으로 에세이를 제출하게 됩니다. 이후에 에세이에서 주장하는 바에 대해 교수님께서 반박을 준비해오시고, 이에 대한 재반박을 하는 인터뷰 세션이 있습니다. 본인의 주장에 대해 뚜렷하게만 말씀하시면 됩니다. 발표 준비는 조별 활동인데, 임의로 배정된 조에서 모두의 전공이 어느 정도 포함이 된 주제로 선정을 하고 한 명당 5분 가량의 발표를 준비하시는 것입니다. 발표 피피티는 준비를 아예 안 하셔도 되고 하셔도 되셔서 크게 영향을 주는 부분은 아닌 것 같습니다. 다만 5분 동안 발표를 할 때 최대한 대본을 보지 않고 아이컨택트를 잘 하시는 것을 교수님께서 중요하게 생각하시기 때문에 대본을 최대한 외워가시는 것이 좋을 것 같습니다. 다른 조가 발표를 할 때 피드백 종이를 작성하기도 합니다. 
결론적으로 학점은 잘 나왔고 교수님께서 학생들 편의도 잘 봐주시고 점수도 후하게 주시며 학습의 양도 많지 않은 정도로 강의를 준비하셔서 편하게 들을 수 있었던 강의였습니다. 또한 강의 내용들이 인상 깊었어서 명강이라고 생각했습니다."
165,20,shine04,3,3,3,3,3,아잉이 아잉한다.. 그냥 무난무난한 수업입니다. 교수님이 수업 안에서 시키는게 없어서 거의 수업 안 듣고 그냥 자기 할 거 하고 에세이랑 발표 무난하게 냈더니 B+떴습니다. 1학기때 엄청 열심히하고 B+받았던거에 비하면 이렇게 쉽게 B+을 받다니 나쁘지 않았네요
166,20,nssul218,4,2,2,3,3,"< 장점 >
- 학점 잘 주심
대부분의 아잉 강의는 학점 잘 받기 쉽지 않은데 과제만 잘 제출하면 잘 주시는 듯합니다. 에이쁠 받았습니다.

- 수업량 적음
다른 분반에 비해 하는 게 정말 없었습니다. 한 학기 동안 에세이 한 번, 간단한 팀플 발표 한 번 했습니다. 흔치 않은 아잉 꿀강입니다.

- 출석 자유로움
뒤늦게 알았는데 출석 점수가 딱히 없어서 f 받을 정도로 빠지지만 않으면 된다고 들었습니다. 유고 결석 신청해도 확인 안 하십니다. 수업 좀 빠져도 지장이 없어서 적당히 결석해도 될 것 같습니다.


< 단점 >
- 체계적이지 않음
수업도 그리 체계적이지 않아서 뭘 배우는 건지 싶었고, 과제 평가 기준도 잘 모르겠었습니다. 1학기에 글렌 교수님 수업 자료로 에세이 작성했습니다...

- 재미없음
글렌 교수님은 하는 건 많아서 너무 귀찮았지만 강의력이 좋으셨고 사람 자체가 굉장히 호감이셨던 반면, 피터 교수님은 하는 건 없어서 마음 편했지만 수업이 지루했었습니다. 정반대의 수업이라 보시면 될 것 같아요. 수업은 거의 항상 교수님의 설명만으로 이뤄졌는데 발음이 안 좋으신 것도 아닌데 이상하게 귀에 잘 안 들어왔습니다. 다른 동기들도 그랬던 것 같습니다. 


객관적으로 장단점을 알려드렸는데 피터 교수님 들으시길 바랍니다. 다른 아잉 수업들은 장점이 별로 없는 것 같아요.  
근데 1학기에 들으면 영어 에세이를 어떻게 써야 하나 막막할 수 있을 것 같아요. 그래도 다른 교수님보다 학점 따기는 쉬운 것 같긴 합니다."
167,20,슈팅스타7356,3,3,3,1,3,다른 분반은 종종 집필고사를 보던데 이 수업은 과제만 하면 됩니다. 다만 요구되는 에세이 분량이 많았고 팀플 영어발표와 교수님과의 1:1질의응답 시간이 있었어서 영어로 말하고 쓰는 것이 힘들다면 비추합니다.
168,21,LIMER,5,4,3,5,3,1학년 내내 얼굴을 보고 살았던 사람으로써 좋습니다. 다들 과제가 많다고 하는데 저는 이정도면 괜찮다고 생각합니다. 물론 다른 과목이 얼마나 차이가 나는지는 모르겠으나 충분히 감당할 만한 분량이고 또 제출 마감 기한도 3일 정도는 연장해주신다는 점에서 큰 문제는 없다고 생각합니다. 유일하게 부담스러운 점은 교수님은 정말 재밌어하고 나만 아니면 되는 것인데 학기 초에 각자에게 번호를 하나 할당해주고 수업 시간이 남아돌 때마다 특정 번호를 호명해서 질문을 하시는데 이게 살짝 부담스럽다? 근데 그게 끝입니다. 갈 곳 없는 학생들은 이 수업 듣는 것 좋아요.
169,21,이우진,5,2,2,4,3,"1학기랑 비슷한 수준으로 참여했는데 1학기 때는 에이쁠 받고 이번에는 에제 받았습니다
채점 기준이 높아진 것인지, 아니면 제가 퇴화한 것인지는 모르겠습니다
전체적으로 매우 귀찮습니다"
170,21,삼성전자사라,4,5,4,4,3,시키는거 많은 원탑 교수님. 에세이 피피티 피알 광고찍기 단어시험 등등 다해야하고 그마저도 다 해야 에제ㅋㅋ 칼절인 것 같고 성적은 진짜진짜 열심히 했다고 자부하는데 나도 에제 응..
171,21,wnan,5,2,2,5,4,"1학기 멈포드에서 2학기 다라로 옮겼는데 잘한 선택 같습니다 (멈포드가 워낙 헬이라)
다라 교수님 팀플이 많기는 한데 조원 잘 만나면 좋습니다 대본짜는 영상 만들고, 반 전체 함께하는 스토리 만들기 등 활동이 많아요"
172,21,피스타치오맛막걸리,4,4,4,3,4,"다라 교수님의 수업은 2학기에 해야 하는게 좀 많습니다. 2학기 수업은 Essay, Group presentation + Team movie, Class story 그리고 시험(Final)으로 이루어져 있습니다.
Essay는 형식을 깐깐하게 따지시지는 않으나, 교수님의 평가 기준에 맞춰 퇴고하는 난이도에 개인차가 있을 수 있습니다. 학점에 비중이 높습니다.
Group presentation + Team movie는 가상의 기업과 제품을 설정해 이 설정에 맞게 홍보 영화와 기업 설명회처럼 발표를 하면 됩니다. 교수님께서 직접 정신이 나간 아이디어를 좋아한다고 말씀하셨던 만큼, 재밌게 지나갈 수 있으나 팀플로 이루어지기 때문에 힘들 수 있습니다.
Class story는 분반 조마다 릴레이 소설을 쓰면 됩니다. 조마다 파트가 완성되면 소설에 대한 질의응답을 하는데, 당황해도 크게 학점에 타격은 없는 것 같습니다. 쓰는 데 의의를 두시는 듯 합니다.
시험은 Class story에서 나온 생소한 단어들 중 랜덤으로 10개를 출제해 단어 시험을 봅니다. 단어의 의미를 설명하는 적절한 예문을 만들면 됩니다.  Midterm은 없습니다. 시험이 생각보다 학점에 비중이 클 수 있습니다.

A+을 받기는 쉽지 않은 수업입니다. A0까지는 많이 주는 것 같습니다. 중간중간 학점에 관계 없이 쉬어가는 수업들도 있을 수 있지만, 그냥 휴강을 때려주신 적은 없었습니다. 매일 출석도 부릅니다.
학생들이 서로 질문하는 부분이 많고, 팀플 비중이 타 분반에 비해 조금 높은 만큼 이런 점들을 유의해 수신하시길 바랍니다."
173,21,익명이지만정직,3,3,3,3,3,사실 어렵다기보다 얼마낙 세부적으로 나왔느냐가 중요합니다. 전체적인 내용 이해도 중요하지만 세부적인 것도 시험에 나오니 모두 외우세요.중간은 쉽게 나왔으나 기말이 조금 어렵게 나왔습니다.
174,21,diella,4,3,3,4,3,"매 수업이 체계적으로 구성돼 있고, 과제 수정에서 자세한 피드백을 보여주십니다. 하지만 1학점치곤 과제가 많은 편입니다. 에세이, movie&presentation, 단어시험까지 크게 세 파트로 구분할 수 있으며 에세이 부분에서 네이티브 수준의 자연스러움을 원하십니다. 제출까지의 수업에서 매번 고쳐주시기에 이 점을 참고해서 충분히 작성하실 수 있습니다. 상대적으로 movie&presentation을 널널하게 평가하시지만, 기획부터 촬영, 편집과 관련 발표를 준비하는 과정이 쉽진 않기 때문에 미리미리 준비하셔야 합니다."
175,21,bobaball,3,3,3,4,3,"에세이, 릴레이 소설(..?), 영화 및 발표, 단어시험... 1학점 치고 해야할 게 많긴 했습니다
근데 수업 내용이 재미가 있었어서 어느정도는 괜찮게 소화할 수 있었던 것 같습니다
다른 건 채점 기준이 빡세지 않은 것 같은데 저는 예상치 못하게 에세이에서 많이 깎여서... 학점은 안좋게 받았습니다
학점을 잘 주시는 교수님은 아니신듯.."
176,21,kIue,3,3,2,4,3,교수님 재치 있으시고 재미있으십니다. 근데 그거와는 별개로 1학점인 것에 비해 과제가 너무 많았던 것 같습니다. 에세이 + 5분 이하의 영상( 영화) + 단어시험인데 칼절평이라서 학점을 잘 받은 느낌도 없어서 아쉽네요. 에세이는 깐깐하게 채점하시니까 열심히 쓰시길 바랍니다!
177,21,wonha,4,3,2,3,2,"1학점에 비해 시키는게 좀 많습니다.
에세이, 소설(?)쓰기, 질문, 발표, 영상제작.... 뭐가 많습니다.....
가장 중요하고 깐깐하신 부분은 에세이 같습니다.
나름 수업 시간에 열심히 참여하는 축이었던 것 같은데 A 나왔습니다. 칼절입니다. 에세이 잘 쓰셔요.
수업 자체는 재미있습니다. 교수님께서 굉장히 유쾌하십니다."
178,22,학점날먹러,4,3,3,3,2,"다른 아잉도 그렇듯 1학점인데도 해야할 것이 많긴 합니다. 그래도 정경대 분반 교수님들 중에서는 무난한 편인 거 같습니다. 다라 교수님의 2학기 아잉은 에세이+릴레이소설쓰기+조별 영상 만들기+단어퀴즈로 이루어집니다. 에세이에서 깐깐하게 점수 많이 깎으시고, 영상 만든 거 발표할 때도 발표 태도 깎으십니다. 그래도 수업 적극적으로 참여하면 좋아하시고 점수 잘 주려 하시는 거 같습니다. 그래도 열심히 한 것에 비해 에제를 받아 쓸쓸하긴 합니다. 에쁠 받기가 좀 힘든 거 같네요."
179,22,홍성혁,4,3,1,4,1,에이쁠이 받고 싶다면 정말 부단한 노력을 해야함. 감점 의문사되어 깎이는 부분이 정말 많아 에제는 그냥 받아질지라도 에쁠은 받기 굉장히 힘듦
180,22,고구마농장,5,5,4,3,3,2학기에 다라 아잉을 듣는 것은 좋지 않은 생각인 것 같습니다. UCC가 너무 귀찮고 힘들고… 에세이도 1학기 때보다 훨씬 빡세게 보시는 것 같습니다. 게다가 칼절평인 탓에 저는 에세이에서 에쁠이 날라갈 뻔 했습니다… 그리고 외국 살다오셔서 영어 잘하시는 분들 다라 듣지 마세요. 차라리 영어실력 자체를 보는 다른 아잉 분반에 가시면 학점이 훨씬 잘 나올 것 같습니다.
181,22,교수님넘행,2,3,3,3,1,"듣지 마세요....... 무슨 에세이에 동영상 제작에 발표, 단어시험까지 정말,, 최악... 그리고 교수님께서는 열심히 하는 것보다 그냥 잘 하는 것을 선호하시는 것 같습니다. 과제 제출 기한 안 지키는 것 전혀 신경 안 쓰시고 과제 완성본만 가지고 평가하시는 것만 봐도 그래요. 일단 동영상 기획하고 제작해서 발표까지 시키는 분반은 여기밖에 없었던 것 같아요. 다른 수업들은 영상 안 찍고 발표만 하는 듯? 다른 분반 들을 걸... 그래도 매번 수업은 45분 정도만 하고 끝내주셨어요!"
182,22,무지무지조아,5,5,4,5,4,교수님 정말 착하시고 재밌으셔요. 시키는 과제나 팀플은 꽤 있지만 하고나면 귀찮았긴 했지만 재밌었다고 생각할거에요. 학점은 아잉인만큼 잘 받지는 못하네요. 그래도 교수님 너무 좋으셔서 추천합니다~
183,22,쿠zn1,5,4,4,4,4,"한학기 동안 크게 에세이, 영상제작/발표, class story 등으로 수업이 진행됩니다. 수업은 50분 동안 진행되며 이를 넘기시는 경우는 거의 없었습니다. 구글문서에 가이드라인과 평가기준 등을 모아서 올려주시기 때문에 활동과 과제를 진행할때 이를 참고하면 도움이 많이 됩니다. 1학점 치고 할 것은 많지만, 나름 재미있는 수업이었습니다."
184,22,통계23,3,3,3,4,3,"수업은 재밌게 진행됩니다. 영어로 말하도록 시키는 활동 중심으로 수업합니다. 에세이, 영상 제작과 조별 발표 등 시키는 게 많으나, 1학기 교수님에 비해 에세이 분량이 반 이하라 교수님 간 큰 차이는 느끼지 못했습니다. 나름 잘했다고 생각했으나, B+을 받았습니다. 학점을 받기 좋은 강의는 아니라고 생각합니다.."
185,23,완시,3,5,1,3,2,"시키는 건 많은데 학점은 참 안 주십니다.
크게 에세이, 단어 시험, 스토리 작성, 영화(5분 내외) 촬영, 발표의 섹션으로 나뉘어서 과제를 해야합니다..
그만큼 수업 자체에 대한 흥미는 다른 분반보다 있을 수 있으나, 제게 중요한 건 학점이라..
교수님 피셜 에세이 이외의 분야에서는 학점을 너그럽게 주신다고는 하시나, 제가 느끼기에는 전혀.. 너그럽지 않으셨던 것 같습니다.

내년부터 2학점으로 느는 만큼, 더 너그러우신 교수님 찾아가시길 바랍니다.."
186,23,이쁜꽃돼지,4,5,3,5,3,"제가 1학기때 들었던 교수님도 개인적으로는 시키시는게 많다고 느껴서 다라 교수님이 시키시는 게 많다는 평이 많았는데 저는 체감상 딱히 많다고 느끼진 않았습니다. 대체로 시키시는 것도 영화 만들기 가상 발명품 만들어 발표하기 등 나름 재미난 활동들을 시키시기 때문에, 조원들과 팀워크만 잘 맞으면 전반적인 수업은 매우 재밌습니다. 다만 출석도 매번 하고 모든 과제를 성실히 다 제출해서 에이쁠을 기대했지만 에제를 주신 것이 많이 아쉽습니다... 팀플 운이 좀 따라줘야 더 재미있는 강의입니다. 교수님 말씀하시는 속도도 적당해서 알아듣기는 쉬웠습니다. 강의력은 좋으신 편입니다."
